MQ135_Analog,MQ3_Analog,MiCS5524_Analog,Output,RSL_Hours
253,151,10,1,83
362,198,10,1,89
800,962,511,0,15
1169,896,1023,0,6
170,59,10,1,105
800,619,690,0,15
847,188,2,1,97
391,106,0,1,143
1954,750,676,0,9
188,368,5,1,80
800,745,483,0,18
863,206,10,1,60
331,269,0,1,130
307,273,10,1,78
902,316,10,1,28
873,395,10,1,33
284,264,0,1,127
632,81,10,1,82
2000,548,867,0,5
579,264,10,1,66
875,127,9,1,64
800,957,647,0,15
800,692,622,0,16
384,77,10,1,88
463,355,1,1,86
878,564,841,0,17
800,775,617,0,16
1834,737,734,0,6
1903,1002,905,0,3
926,661,756,0,12
576,110,0,1,133
592,179,10,1,69
1256,794,871,0,6
1035,844,871,0,11
270,349,0,1,108
800,668,490,0,18
722,104,0,1,117
878,357,10,1,25
1259,589,618,0,15
974,155,3,1,91
555,101,0,1,124
375,181,10,1,73
987,594,868,0,14
800,863,712,0,16
458,353,8,1,62
1993,477,675,0,7
411,356,10,1,59
685,36,10,1,83
645,135,0,1,121
901,378,10,1,41
203,105,0,1,142
800,708,687,0,18
800,840,496,0,18
800,805,715,0,15
1724,679,706,0,6
38,234,6,1,104
800,960,472,0,13
460,97,10,1,79
863,552,919,0,12
800,654,677,0,15
800,985,594,0,14
843,185,0,1,101
78,176,0,1,141
263,188,0,1,129
885,94,8,1,76
800,730,798,0,16
800,721,578,0,18
800,656,786,0,13
1726,605,676,0,10
93,173,10,1,105
800,923,683,0,12
800,816,603,0,16
1086,487,678,0,17
157,0,0,1,168
800,786,610,0,13
689,175,0,1,109
128,303,0,1,123
880,69,10,1,77
800,811,711,0,16
117,280,0,1,135
800,640,531,0,18
125,4,0,1,161
854,0,6,1,89
829,67,0,1,108
777,102,10,1,73
924,197,7,1,63
800,780,660,0,16
800,744,740,0,13
800,747,820,0,11
800,860,745,0,12
753,0,10,1,93
800,928,786,0,9
800,1013,484,0,12
1444,837,878,0,7
800,927,546,0,16
800,829,545,0,13
800,890,698,0,10
545,336,0,1,92
734,198,0,1,119
800,839,630,0,13
800,947,644,0,12
837,303,10,1,51
800,651,523,0,19
456,379,10,1,48
261,108,10,1,88
650,345,0,1,101
416,317,0,1,111
800,823,524,0,14
43,269,0,1,127
800,677,760,0,17
800,824,720,0,14
749,667,719,0,14
289,289,0,1,124
809,57,0,1,126
800,595,815,0,13
587,382,10,1,49
255,259,10,1,81
